film,tmdb_id,poster_path,certification,premiere_date,theatrical_date,theatrical_type,streaming_date,streaming_platform,notes,source
A Place in Hell,1437882,/4gSgzVw59vhegejEh1yMMfStXsU.jpg,R,,2026-12-25,wide,,,,tmdb
A Talent for Murder,1084409,,,,2026-10-23,wide,,,,tmdb
All of a Sudden,1476614,/bjKbSnsDlDdi3E2Ln6Aq80s8Pwl.jpg,,,2026-11-25,limited,,,,tmdb
Artificial,1586108,/pxPmvPaOp1c9XXnsM52a96dlKhB.jpg,,,,,,,,tmdb
Backrooms,1083381,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,R,2026-05-07,2026-05-29,wide,2026-07-14,,"Premiere: Aero Theatre (Santa Monica, California)",tmdb
Bedford Park,1470198,/afH14yQ0xwyalCy3AyZrhQpRZyB.jpg,R,2026-01-24,2026-09-22,limited,,,Premiere: Sundance Film Festival,tmdb
Behemoth!,1452168,/bcyGYWfcXr0GnXewaE5gkvYy1iQ.jpg,,2026-10-02,2026-12-04,wide,,,Premiere: New York Film Festival,tmdb
Being Heumann,1050981,/jctGiSU69ELojgDCTba0fCJ0JUV.jpg,R,,,,2026-11-12,Apple TV,,tmdb
Bitter Christmas,1088548,/q030Fi4tubXBJKg3D9otPDgGP2o.jpg,,,2026-11-13,limited,,,Also wide 2026-11-25,tmdb
Clarissa,1630464,/9qS8heXhQdLoyGsqZHHb3HkrK62.jpg,,,2026-12-11,limited,,,,tmdb
Club Kid,1585239,/6vAp5qyxvgh1g937AqXi30Rt9UE.jpg,,,2026-11-06,limited,,,,tmdb
Couture,1390382,/pie2ouNdXYKEMXtF2Kvj0H4LzOr.jpg,,,,,,,,tmdb
Coward,1437981,/dEi27lMyBkUQSUO366DMg0lN8JS.jpg,,,2026-12-25,limited,,,,tmdb
Digger,1248832,/1ATXKrIPJyKNwnJ6lcG088Sa6zi.jpg,R,,2026-10-02,wide,,,,tmdb
Disclosure Day,1275779,/AnJ8IQJI23hNpYXVNaythu061Ru.jpg,PG-13,,2026-06-12,wide,2026-07-21,,,tmdb
Dune: Part Three,1170608,/d43fvHQsIMa4kpyhKXw0haEJIvI.jpg,,,2026-12-18,wide,,,,tmdb
Elsinore,1599230,/oX1wG1oO5kHnI8T5oxybjpR3prS.jpg,,,2026-11-20,limited,,,,tmdb
Fatherland,1437696,/oNejN1l69nBF8LdQwy5FkAQZT44.jpg,,,2026-10-23,limited,,,Also wide 2026-11-06,tmdb
Fjord,1401459,/9jXtRN8qCcoBjj2GGSJcyHMI8Id.jpg,,,2026-10-09,limited,,,,tmdb
Forgotten Island,1465063,/kW1fH2jZZM5tVHwNaDdUOUXJvWU.jpg,PG,,2026-09-25,wide,,,,tmdb
Gail Daughtry and the Celebrity Sex Pass,1476682,/98T4bnMjJs71WOVZoeY8edZhfgZ.jpg,R,2026-01-25,2026-07-10,wide,,,Premiere: Sundance Film Festival,tmdb
Gentle Monster,1473148,/rv3PprTMvEf317skaiTeEYAfJcr.jpg,R,,2026-10-30,limited,2026-11-18,Netflix,,tmdb
Glenrothan,1335666,/gNKQETNDN9sVxpiayzF9bTw5a5q.jpg,,2026-01-11,,,,,Premiere: Palm Springs International Film Festival,tmdb
"Ha-Chan, Shake Your Booty!",1596249,/kYQVE0HzREPJmOFE7rsCRCeIT9e.jpg,,2026-01-22,2026-09-23,limited,,,Premiere: Sundance Film Festival,tmdb
Harmonia,1559456,/75mMe7VSrwNWwSeOKXdWzI0fkXB.jpg,,,,,2026-02-06,Prime Video,,tmdb
Her Private Hell,1469342,/kiFacg75KVjy0AM3S4QmbPas8zL.jpg,R,,2026-07-24,wide,,,,tmdb
Here Comes the Flood,701244,/tvCslSGrnAIqO9qlxX5PNaoX03s.jpg,,,,,,,,tmdb
Hope,1058424,/1n37BJchWHLiSYQkuFxe5KjB951.jpg,,2026-07-20,2026-09-09,wide,,,Premiere: New York Asian Film Festival,tmdb
I Love Boosters,1227877,/4pNKIUFy7tkZiBx0rnSmG9ysRy.jpg,R,2026-03-12,2026-05-22,wide,2026-06-23,,Premiere: South by Southwest Film & TV Festival,tmdb
I Play Rocky,1286656,/gYnp0VAzcScVfTn4wLGa8nlrgeb.jpg,,,2026-11-13,limited,,,Also wide 2026-11-20,tmdb
I Swear,1317149,/vUwyhNWBKkSwK8ELvEeBRwV724h.jpg,R,2026-01-06,2026-04-24,wide,2026-06-02,,Premiere: Palm Springs International Film Festival,tmdb
In the Hand of Dante,1020047,/nPPIufTBnzEg0d7NoR5RLL1oPra.jpg,R,2026-06-10,2026-06-12,limited,2026-06-24,Netflix,Premiere: Tribeca Festival,tmdb
Ink,1706744,,,,,,,,,tmdb
Is God Is,1380316,/rCYQGHdoz7qwYsb6wXETJfUfDLX.jpg,R,2026-04-27,2026-05-15,wide,2026-06-02,,Premiere: Brooklyn Academy of Music,tmdb
Josephine,1299329,/eqMWdviWwaRahQ7QkHLpXCpqIfu.jpg,,2026-01-23,,,,,Premiere: Sundance Film Festival,tmdb
Klara and the Sun,858035,/xqovj2p6HRsgHxN81qYAYF4StgM.jpg,PG-13,,2026-10-23,wide,,,,tmdb
La Bola Negra,1422041,/iKv3KYVmLtfSyFvynYLyJWjIru3.jpg,R,,2026-11-06,limited,2026-12-04,Netflix,,tmdb
Late Fame,1285895,/bcyXE0p4XmZUlcxvTDbvdG9lgsN.jpg,,2025-09-28,2026-08-07,limited,,,Premiere: New York Film Festival,tmdb
Madden,1131943,,,,,,2026-11-26,Prime Video,,tmdb
Michael,936075,/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,PG-13,2026-04-20,2026-04-24,wide,2026-06-09,,Premiere: TCL Chinese Theatre,tmdb
Minotaur,848700,/wcxM1Pc8StmtMVTlkk1d62x0VPl.jpg,,,2026-11-20,limited,,,,tmdb
Mother Mary,1102883,/uVcsN3yoHh7ZcJ6ecj1FJfv7dLa.jpg,R,,2026-04-17,wide,2026-05-19,,,tmdb
Never After Dark,1629051,/4rDgzOCBREeTaqZvTeFtEcnrju8.jpg,,2026-03-13,,,,,Premiere: South by Southwest,tmdb
Obsession,1339713,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,R,2025-09-21,2026-05-15,wide,2026-06-30,,Premiere: Fantastic Fest,tmdb
Paper Tiger,1381273,/7XhTjNP3BL8pTtCLcsvIssR9hSf.jpg,R,2026-09-25,2026-11-13,limited,,,Premiere: New York Film Festival; Also wide 2026-11-20,tmdb
Poetic License,1272162,/zbxwUHpW7F9vjsE1cm6ULTStKoD.jpg,,2026-03-17,,,,,Premiere: South by Southwest Film & TV Festival,tmdb
Pressure,1318413,/gFjEggtrejCN79r6SXRjM269OtG.jpg,PG-13,,2026-05-25,limited,2026-06-16,,Also wide 2026-05-29,tmdb
Primetime,1375441,/pKHeSpUfl4ff9wYIr0OMyZWBiQn.jpg,,,2026-09-25,wide,,,,tmdb
Project Hail Mary,687163,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,PG-13,,2026-03-20,wide,2026-05-12,,,tmdb
Saturn Return,977548,/4NtkEJNctcf2MztNBA6RX4RS9Iw.jpg,,2024-05-11,2024-12-06,limited,,,Premiere: Seattle International Film Festival,tmdb
Sense and Sensibility,1503762,/sYzWktm1YwJydX92fbSOWHJs33m.jpg,PG,,2026-10-16,wide,,,,tmdb
